,Unnamed: 0,rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,glacier_type,terminus_type,status,dem_source,n_orig_centerlines,error_task,error_msg,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,n_centerlines,longuest_centerline_km,lake_type,calving_front_width,length_to_LGM,region,debris,debris_jb
136,136,RGI60-15.10912,15,15-Feb,Cn5O212A0012,90.814,28.029,7.914,Glacier,Land-terminating,Glacier or ice cap,SRTM,7,,,5277.931152,5341,4706,5933,5933,4706,0,7,8.135727266,0,,,bhutan,1,1
137,137,RGI60-15.02319,15,15-Feb,,89.9123003,28.16265007,7.882,Glacier,Land-terminating,Glacier or ice cap,SRTM,6,,,5316.463379,5304,4583,6175,6175,4583,0,6,8.84293506,0,,,bhutan,,0
138,138,RGI60-15.04757,15,15-Jan,,84.03658264,28.75650365,7.791,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5821.236816,5789,5118,6533,6493,5118,0.00168218,5,7.096173157,0,,,,,
139,139,RGI60-15.10240,15,15-Feb,Cn5O194D0017 West Duosangpu Glacier,86.396,28.338,7.77,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,6260.102539,6226,5579,6997,6991,5579,0.000892758,4,8.036833329,0,,,poiqu,,0
140,140,RGI60-15.10778,15,15-Feb,Cn5O212A0161,90.502,28.169,7.742,Glacier,Land-terminating,Glacier or ice cap,SRTM,6,,,6021.806152,5970,5607,6880,6753,5607,0.010324484,6,6.325121784,0,,,bhutan,1,1
141,141,RGI60-15.10653,15,15-Feb,Cn5O198E007,87.769,27.891,7.74,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5618.333984,5576,5086,6340,6335,5086,0.000105697,5,6.643268104,2,,,sikkim,1,1
142,142,RGI60-15.09308,15,15-Jan,Cn5O186B0055 Angdang Glacier,85.304,28.498,7.716,Glacier,Land-terminating,Glacier or ice cap,SRTM,6,,,5347.36084,5342,4701,5752,5752,4701,0,6,4.407499926,0,,,poiqu,,0
143,143,RGI60-15.04220,15,15-Feb,,85.72464752,28.16322708,7.703,Glacier,Land-terminating,Glacier or ice cap,SRTM,9,,,5352.28125,5323,4369,6923,6884,4369,0.004862907,9,8.233292491,0,,,poiqu,1,1
144,144,RGI60-15.03149,15,15-Feb,,88.05119254,27.66464113,7.655,Glacier,Land-terminating,Glacier or ice cap,SRTM,7,,,5944.364258,5755,5234,7435,7435,5234,0,7,5.975560892,0,,,sikkim,,0
145,145,RGI60-15.02997,15,15-Feb,,88.34058023,27.69903329,7.601,Glacier,Land-terminating,Glacier or ice cap,SRTM,6,,,5132.882813,5325,4029,6686,6686,4029,0,6,7.656207138,1,330,,sikkim,,1
146,146,RGI60-15.09811,15,15-Feb,Cn5O193A0132,87.021,28.117,7.551,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,6060.250488,5978,5689,7010,6996,5689,0.000867491,5,5.016499926,0,,,everest,,0
147,147,RGI60-15.04474,15,15-Jan,,84.56291466,28.60932554,7.547,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5051.123535,5029,4217,5923,5923,4217,0,4,8.65954855,0,,,,,
148,148,RGI60-15.04611,15,15-Jan,,84.39,28.839,7.542,Glacier,Land-terminating,Glacier or ice cap,SRTM,6,,,5846.693359,5858,5221,6474,6474,5221,0,6,5.545890112,0,,,,,
149,149,RGI60-15.02911,15,15-Feb,,88.15377169,27.94473063,7.532,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5819.229004,5737,5407,6746,6746,5407,0,5,6.324268104,0,,,sikkim,,1
150,150,RGI60-15.06462,15,15-Jan,,82.19044736,29.96725617,7.372,Glacier,Land-terminating,Glacier or ice cap,SRTM,7,,,5094.820313,5192,4243,5773,5773,4243,0,7,6.413829145,0,,,central_west_one,,0
151,151,RGI60-15.10286,15,15-Jan,Cn5O195A0015 Guoluoqiang Glacier,85.581,28.525,7.354,Ice cap,Land-terminating,Glacier or ice cap,SRTM,1,,,5862.672363,5827,5362,6635,6635,5362,0,1,3.536646245,1,490,,poiqu,,0
152,152,RGI60-15.10209,15,15-Feb,Cn5O194C0001 Ayi Glacier,86.457,28.316,7.27,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5775.874512,5732.5,5312,6770,6770,5312,0,4,10.21901204,0,,,poiqu,1,1
153,153,RGI60-15.09283,15,15-Jan,Cn5O186A0028 Puyong Glacier,85.2,28.397,7.258,Ice cap,Land-terminating,Glacier or ice cap,SRTM,1,,,5331.859375,5193,4297,6630,6617,4297,0.00113353,1,3.454621859,0,,,,,
